ＣＤプレーヤー	シーディープレーヤー	CD player	
Ｔシャツ	ティーシャツ	T-shirt, tee shirt	
Ｔバック	ティーバック	T-back, bikini thong	
明白	めいはく	obvious, clear, plain, evident, apparent, explicit, overt	
彼処	あそこ	there, over there, that place, yonder, you-know-where	
あっさり	あっさり	easily, readily, quickly, flatly (refuse)	
あっという間に	あっというまに	in an instant, in a flash, in the blink of an eye, in no time at all, just like that	
彼の	あの	that, those, the	
あの	あの	say, well, um, er	
あの人	あのひと	he, she, that person	
あの方	あのかた	that gentleman, that lady, he, she	
あべこべ	あべこべ	contrary, opposite, inverse, reverse, back-to-front	
あやふや	あやふや	uncertain, indefinite, vague, ambiguous, equivocal, dubious, doubtful, non-committal	
あら	あら	oh!, ah!, oh no	
彼	あれ	that, that thing	
あんな	あんな	that sort of, that kind of, like that, such, so	
否々	いやいや	no!, no no!, no, not at all	
如何にも	いかにも	indeed, really, truly, just (like)	
行けない	いけない	bad, wrong, naughty	
いざこざ	いざこざ	trouble, quarrel, difficulties, complication, tangle	
いそいそ	いそいそ	cheerfully, joyously, joyfully, happily, lightheartedly, excitedly, eagerly	
いらっしゃい	いらっしゃい	come, go, stay	
いらっしゃいませ	いらっしゃいませ	welcome	
居らっしゃる	いらっしゃる	to come, to go, to be (somewhere)	
うずうず	うずうず	itching to do something, impatient, sorely tempted, eager	
うっかり	うっかり	carelessly, thoughtlessly, inadvertently	
うとうと	うとうと	falling into a doze, dozing off, nodding off	
畝り	うねり	undulation, winding, meandering	
うろうろ	うろうろ	restlessly, aimlessly, without purpose	
うん	うん	yes, yeah, uh huh	
うんこ	うんこ	poop, poo, faeces, feces	
うんざり	うんざり	tedious, boring, being fed up with	
ウンチ	ウンチ	poo, poop, doo-doo, caca, whoopsie	
ええ	ええ	yes, that is correct, right	
えっと	えっと	let me see, well, errr ..., uhh ...	
おい	おい	hey!, say!, I say!, come on!, look!, oi!	
おしっこ	おしっこ	wee-wee, pee-pee, number one	
おっさん	おっさん	middle-aged man	
おっぱい	おっぱい	boobs, boobies, breasts, tits	
御田	おでん	oden, dish of various ingredients, e.g. egg, daikon, potato, chikuwa, konnyaku stewed in soy-flavored dashi	
オドオド	オドオド	timidly, nervously, hesitantly, trembling (with fear), fearfully, anxiously	
おなら	おなら	wind, gas, fart	
